
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年04月01日","2026年05月01日","67","1","67"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/04/28","ＱＤレーザ","6613","東証",株式現物買,"--"," 特定 ","--",100,1490,--,--,"2026/05/01",149000
"2026/04/30","グリーンモンスター","157A","東証",株式現物売,"--"," 特定 ","申告",100,1301,--,--,"2026/05/07",130100
"2026/04/30","菊池製作所","3444","東証",株式現物売,"--"," 特定 ","申告",100,1560,--,--,"2026/05/07",156000
"2026/04/30","ＱＤレーザ","6613","東証",株式現物売,"--"," 特定 ","申告",100,1477,--,--,"2026/05/07",147700
"2026/04/30","グリーンモンスター","157A","東証（外）",株式現物買,"--"," 特定 ","--",100,1355.7,--,--,"2026/05/07",135570
"2026/05/01","津田駒工業","6217","東証",株式現物売,"--"," 特定 ","申告",100,1850,--,--,"2026/05/08",185000
"2026/05/01","東京衡機","7719","東証",株式現物売,"--"," 特定 ","申告",100,590,--,--,"2026/05/08",59000
"2026/05/01","東京衡機","7719","東証",株式現物売,"--"," 特定 ","申告",100,589,--,--,"2026/05/08",58900
"2026/05/01","東京衡機","7719","東証",株式現物買,"--"," 特定 ","--",200,580,--,--,"2026/05/08",116000


